"region_id","region_name","finished_vax","pop_total","vax_per_pop"
"CZ010","Hlavní město Praha",882433,1259413,0.7006700740741917
"CZ020","Středočeský kraj",928939,1372588,0.6767791937566116
"CZ031","Jihočeský kraj",414295,636422,0.6509752962656854
"CZ032","Plzeňský kraj",374386,576358,0.6495719674230253
"CZ041","Karlovarský kraj",180331,285020,0.632695951161322
"CZ042","Ústecký kraj",507486,801586,0.6331023745424695
"CZ051","Liberecký kraj",272057,437522,0.6218133031024725
"CZ052","Královéhradecký kraj",351103,544205,0.6451668029510937
"CZ053","Pardubický kraj",322706,514413,0.627328625054188
"CZ063","Kraj Vysočina",338775,504004,0.6721672843866319
"CZ064","Jihomoravský kraj",741564,1181216,0.6277971175466638
"CZ071","Olomoucký kraj",370086,624931,0.5922029792089046
"CZ072","Zlínský kraj",349069,573718,0.6084330629333575
"CZ080","Moravskoslezský kraj",706015,1183440,0.5965786182653958
